整机结构研发流程,,,,,,,,,
"评估需结合硬件和供应商评估结果进行。
重大风险需经结构总监、产品总监可行后，才可以进行下一步的设计。
封样阶段,75,量产外观间隙断差标准输出,"
","《外观间隙断差标准》；
规格书、2D图、BOM(V2.0版本)；
《试模检讨以及封样CHECKLIST》；
《承认书》
",,,"结构工程师
项目经理
质量策划工程师",3天,参与签量产金机
,76,"BOM,2D图档更新到量产版本",,,,,,,
,77,"通报技术状态，对照BOM安排供应商制作样品、签量产结构限量样品
","模具厂：
全尺寸报告、CPK；
单体可靠性报告；
承认书（临时承认书：1.封面；2.2D图档；3.样品）",,,,"结构工程师
项目经理
质量策划工程师
",,
,78,正式封样，跟进承认书和测试报告制作进度，签核承认书,承认书,,,,"结构工程师
项目经理
质量策划工程师",首量一个月内,
量产阶段,79,量产装机跟进,"供应商生产良率；（SQE提供）
工厂产线良率；
客户，项目，工程变更需求","《改模说明》（如有，需总监审批）
",无,,结构工程师,-,
,80,"项目总结,资料归档",,"1、《整机项目总结》
2、资料归档",,,结构工程师,一个月内,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
